feature_mode,dimensions,case_id,time_s,direct_cosine_max_error,explicit_interference_max_error,answer_invariant,key_energy,key_energy_error
hybrid,256,q02,0.0137,5.551115123125783e-17,3.3306690738754696e-16,True,40.0,0.0
hybrid,256,q02,1.0,5.551115123125783e-17,3.3306690738754696e-16,True,40.0,0.0
hybrid,256,q02,1234.5,3.122502256758253e-17,3.3306690738754696e-16,True,40.0,0.0
hybrid,256,q02,1000000000000.0,3.122502256758253e-17,3.3306690738754696e-16,True,40.0,0.0
hybrid,256,q03,0.0,1.1102230246251565e-16,2.0209528495129803e-16,True,40.0,0.0
hybrid,256,q03,0.0137,1.1102230246251565e-16,2.194425197110661e-16,True,40.0,0.0
hybrid,256,q03,1.0,1.1102230246251565e-16,2.0209528495129803e-16,True,40.0,0.0
hybrid,256,q03,1234.5,1.1102230246251565e-16,1.951563910473908e-16,True,40.0,0.0
hybrid,256,q03,1000000000000.0,1.1102230246251565e-16,2.0209528495129803e-16,True,40.0,0.0
hybrid,1024,q01,0.0,5.551115123125783e-17,2.0469737016526324e-16,True,40.0,0.0
hybrid,1024,q01,0.0137,5.551115123125783e-17,2.0990154059319366e-16,True,40.0,0.0
hybrid,1024,q01,1.0,2.0816681711721685e-17,2.0469737016526324e-16,True,40.0,0.0
hybrid,1024,q01,1234.5,5.551115123125783e-17,2.0296264668928643e-16,True,40.0,0.0
hybrid,1024,q01,1000000000000.0,5.551115123125783e-17,2.0469737016526324e-16,True,40.0,0.0
hybrid,1024,q02,0.0,5.551115123125783e-17,2.3765711620882257e-16,True,40.0,0.0
hybrid,1024,q02,0.0137,5.551115123125783e-17,2.3592239273284576e-16,True,40.0,0.0
hybrid,1024,q02,1.0,5.551115123125783e-17,2.3592239273284576e-16,True,40.0,0.0
hybrid,1024,q02,1234.5,1.1102230246251565e-16,2.3592239273284576e-16,True,40.0,0.0
hybrid,1024,q02,1000000000000.0,5.551115123125783e-17,2.3765711620882257e-16,True,40.0,0.0
hybrid,1024,q03,0.0,1.1102230246251565e-16,2.255140518769849e-16,True,40.0,0.0
hybrid,1024,q03,0.0137,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,1024,q03,1.0,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,1024,q03,1234.5,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,1024,q03,1000000000000.0,1.1102230246251565e-16,2.255140518769849e-16,True,40.0,0.0
hybrid,4096,q01,0.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
hybrid,4096,q01,0.0137,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
hybrid,4096,q01,1.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
hybrid,4096,q01,1234.5,2.220446049250313e-16,3.226585665316861e-16,True,40.0,0.0
hybrid,4096,q01,1000000000000.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
hybrid,4096,q02,0.0,5.551115123125783e-17,1.8388068845354155e-16,True,40.0,0.0
hybrid,4096,q02,0.0137,5.551115123125783e-17,1.8735013540549517e-16,True,40.0,0.0
hybrid,4096,q02,1.0,5.551115123125783e-17,1.8735013540549517e-16,True,40.0,0.0
hybrid,4096,q02,1234.5,5.551115123125783e-17,1.8388068845354155e-16,True,40.0,0.0
hybrid,4096,q02,1000000000000.0,5.551115123125783e-17,1.8388068845354155e-16,True,40.0,0.0
hybrid,4096,q03,0.0,1.1102230246251565e-16,2.218277644905342e-16,True,40.0,0.0
hybrid,4096,q03,0.0137,1.1102230246251565e-16,2.23562487966511e-16,True,40.0,0.0
hybrid,4096,q03,1.0,1.1102230246251565e-16,2.246466901389965e-16,True,40.0,0.0
hybrid,4096,q03,1234.5,1.1102230246251565e-16,2.244298497044994e-16,True,40.0,0.0
hybrid,4096,q03,1000000000000.0,1.1102230246251565e-16,2.218277644905342e-16,True,40.0,0.0
hybrid,16384,q01,0.0,2.220446049250313e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,16384,q01,0.0137,2.220446049250313e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,16384,q01,1.0,1.6653345369377348e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,16384,q01,1234.5,1.6653345369377348e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,16384,q01,1000000000000.0,2.220446049250313e-16,2.220446049250313e-16,True,40.0,0.0
hybrid,16384,q02,0.0,1.1102230246251565e-16,2.1163626406917047e-16,True,40.0,0.0
hybrid,16384,q02,0.0137,1.1102230246251565e-16,2.0990154059319366e-16,True,40.0,0.0
hybrid,16384,q02,1.0,1.1102230246251565e-16,2.1076890233118206e-16,True,40.0,0.0
hybrid,16384,q02,1234.5,1.1102230246251565e-16,2.0903417885520525e-16,True,40.0,0.0
hybrid,16384,q02,1000000000000.0,1.1102230246251565e-16,2.1163626406917047e-16,True,40.0,0.0
hybrid,16384,q03,0.0,1.1102230246251565e-16,2.2453826992174797e-16,True,40.0,0.0
hybrid,16384,q03,0.0137,5.551115123125783e-17,2.253514215511121e-16,True,40.0,0.0
hybrid,16384,q03,1.0,1.1102230246251565e-16,2.253514215511121e-16,True,40.0,0.0
hybrid,16384,q03,1234.5,5.551115123125783e-17,2.248635305734936e-16,True,40.0,0.0
hybrid,16384,q03,1000000000000.0,1.1102230246251565e-16,2.238335385096324e-16,True,40.0,0.0
